Compound,Character,OSHAPEL
Ethyl Mercaptan C2H6S,rotten cabbage,10
N-Ethylmorpholine C6H13NO,ammonia,20
Ethyl Silicate C8H20SiO4,sweet alcohol,100
Fluorine F2,spice,0.1
Formaldehyde CH2O,spice,0.752
Formic Acid CH2O2,irritating,5
Furan C4H4O,,
Furfural C5H4O2,bread almond,5
Furfuryl Alcohol C5H6O2,sweet ether alcohol,50
Glutaraldehyde C5H8O2,,
Halothane C2HBrClF3,chloroform,
Heptane C7H16,solvent,500
Hexachlorocyclopentadiene C5Cl6,spice,
16-HexamethyleneDiisocyanate C8H12N2O2,,
n-Hexane C6H14,solvent,500
Hexane isomers exceptn-hexane C6H14,solvent,
16-Hexanediamine C6H16N21,,
1-Hexene C6H12,solvent,
sec-Hexyl Acetate C8H16O2,fish fruit,50
n-Hexyl Alcohol C6H14O,herb grass plastic,
Hexylene glycol C6H14O2, sweet,
Hydrazine N2H4,ammonia,1
Hydrogen Chloride HCI,irritating irritating,5
Hydrogen Cyanide CHN,almonds,10
Hydrogen Fluoride HF,highly corrosive irritating,3
Hydrogen Selenide H2Se,garlic,0.05
Hydrogen Sulﬁde H2S,rotten eggs,20
Indene C9H81,,
Iodine I2,irritating alliaceous,0.1
Iodoform CHI3,chemical etherish,
Isoamyl Acetate C7H14O2,fruit herb,100
Isoamyl Alcohol C5H12O,sweet malty rancid rubber bitter,100
Isobutyl Acetate C6H12O2,sweet ester medicinal,150
Isobutyl Alcohol C4H10O,sweet fusel musty alcohol rubber latex,100
Isobutyraldehyde C4H8O,spice,
Isooctyl Alcohol C8H18O,faint ,
Isophorone C9H14O,irritating,25
Isoprene C5H8,aromatic,
Isopropyl Acetate C5H10O2,fruit,250
Isopropyl Alcohol C3H8O,irritating rubbingalcohol,200
Isopropylamine C3H9N,ammonia ammonia,5
Isopropyl Ether C6H14O,sweet,500
d-Limonene C10H16,fruit plastic citrus rubber terpeny,
Maleic Anhydride C4H2O3,acrid,0.25
Mercaptoethanol C2H6OS,,
Mesityl Oxide C6H10O,sweet,25
Methacrylic acid C4H6O2,spice,
Methacrylonitrile C4H5N,,
Methane CH4,,
2·Methoxyethanol C3H8O2 ,sweet ,25
1-Methyoxy Propanol C4H10O2,etherish ammonia,
1-Methoxy PropanolAcetate C6H12O3,,
Methyl Acetate C3H6O2,fruit,200
Methyl Acrylate C4H6O2,plastic irritating airplane glue,10
Methyl Alcohol CH4O,acid sweet alcohol,200
Methylamine CH5N,fish,10
Methyl n-amyl Ketone C7H14O,sweet mushroom,100
N-Methyl Aniline C7H9N,,2
2-Methyl ButylAcetate C7H14O2,,
Methyl tert-Butyl Ether C5H12O,anesthetic,
Methyl n-Butyl Ketone C6H12O,sweet paint,100
Methyl Chloride CH3Cl,sweet etherish,100
Methyl Chloroform C2H3Cl3,sweet etherish,350
Methyl 2-Cyanoacrylate C5H5NO2,,
Methylcyclohexane C7H14,solvent,500
2-Methylcyclohexanone C7H12O,acetone,100
Methylene BisphenylIsocyanate C15H10O2N2,,0.02
Methylene Chloride CH2CI2,sweet,25
Methyl Ethyl Ketone C4H8O,sweet irritating,200
Methyl Formate C2H4O2,ethereal,100
Methyl Hydrazine CH6N2,ammonia,0.2
Methyl IsoamylKetone C7H11O,sweet irritating,100
Methyl Isobutyl Ketone 10-10 C6H12O,sweet irritating,100
Methyl Isocyanate C2H3NO,,0.02
Methyl Isopropyl Ketone C5H10O,sweet irritating,
Methyl Mercaptan CH4S,rotten cabbage garlic,10
Methyl Methacrylate C5H8O2,plastic irritating,100
2-Methylnaphthalene C11H10,,
Methyl Parathion C8H10NO5PS2,spice,
4-Methyl Propanol C6H14O,,25
Methyl Propyl Ketone C5H10O,ﬁngernail solvent,200
n-Methyl Pyrrolidone C5H9NO,ammonia,
Methyl Styrene C9H10,,100
Methyl Vinyl Ketone C4H6O,spice,
Monochloroacetic Acid C2H3ClO2,,
Morpholine C4H9NO,fish ammonia,20
Naphthalene C10H81,tar creosote mothballs empyreumatic,10
1-Naphthylamine C10H9N,,1910.1003
2-Naphthylamine C10H9N,,1910.1003
Nickel Carbonyl Ni41,sooty,0.001
Nicotine C10H14N21,,0.075
NitricAcid HNO3,suffocating,2
Nitrobenzene C6H5NO2,almonds shoe solvent spice,1
Nitrogen Dioxide NO2,bleach,5
Nitromethane CH3NO2,,100
1-Nitropropane C3H7NO2,,25
2-Nitropropane C3H7NO2,fruit,25
N-Nitrosodimethylamine C2H6N2O,faint,1910.1003
Nonane C9H20,solvent,
Octane C8H18,solvent solvent,-500
1-Octanol C8H18O,penetrating,
1-Octene C8H16,,
Oxygen Diﬂuoride OF2, peculiar,0.05
Ozone O3,spice thderstorm,0.1
Pentaborane B5H9,spice,0.005
Pentaneall isomers C5H12,sweet,1000
24-Pentanedione C5H8O2,,
Pentanolallisomers C5H12O,,
Perchloroethylene C2Cl4,etherish,100200
