Compound,Character,OSHAPEL
linalyl acetate,sweet fruit,
perilla aldehyde,spice,
p-anisaldehyde,mint sweet,
decanol,solvent,
o-aminoacetophenone,foxy sweet,
isopulegyl acetate,mint herb,
geranial,fruit mint,
geraniol,rose geranium,
nonanoic acid,herb solvent,
benzoic acid,urine,
epoxy-2-nonenal,metal,
octanoic acid,sweat cheese,
safrole,spice sweet warm,
p-menthenethiol,grapefruit,
(E)-cinnamaldehyde,cinnamon paint,
2.4-decadienal,seaweed,
4-ethylguaiacol,spice clove,
5-octanolide,peach,
methyl quinoxaline,roast nut fruit,
indole,mothball burnt,
1.3-p-menthadien-7-al,solvent spice,
undecanone,fruit herb herb,
decadienal,fried solvent,
dihydroterpinyl acetate,pine citrus,
γ-butyrolactone,caramel sweet,
(Z)-β-Farnesene,citrus herb,
safranal,herb sweet,
methyl geranate,aromatic herb fruit,
nonyl acetate,sweet fruit,
decadienal,fried wax solvent,
undecanaldehyde,solvent spice sweet,
α-terpineol,solvent anise mint,
ethyl undecanoate,cognac fruit,
isopentyldimethylpyrazine,fruit,
cinnamyl alcohol,solvent,
tridecane,alkane,
perillaldehyde,solvent,
(E)-oak lactone,fruit aromatic,
hydrocinnamic acid,balsamic,
4-hexanolide,coumarin sweet,
p-vinylguaiacol,clove curry,
methyl decanoate,alcohol,
p-mentha-dien-hydroperoxide,turpentine,
ethylhydroxyhexanoate,herb,
dimethoxytoluene,hummus,
oxodecanal,solvent,
4-methylthiazole,roasted meat,
benzyl butanoate,plum,
dihydrocarvyl acetate,mint camphor medicine,
δ-muurolene,solvent,
methyl anthranilate,honey aromatic,
p-methoxystyrene,sweet,
p-menthadienhydroperoxide,turpentine,
heptyl 2-methylbutyrate,fruit,
acetyloxy-dimethylfuranone,caramel,
cuminic alcohol,wood herb,
δ-elemene,wood,
ethylfuranone,spice,
butyl benzoate,balsamic,
α-cubebene,herb wax,
2-undecenal,sweet,
ethyl dihydrocinnamate,aromatic,
citronellyl acetate,rose dust,
terpinyl acetate,wax,
(E)-2-undecenal,soap solvent herb,
neryl acetate,fruit,
vanillin,vanilla,
p-menthadienhydroperoxide,turpentine,
γ-nonalactone,fruit peach,
α-copaene,wood spice,
undecanol,mandarin,
acetylpyrrolizine,medicine,
decanoic acid,rancid solvent,
β-damascenone,fruit. rose honey,
epoxy-2-decenal,metal herb,
(Z)-3-hexenyl hexanoate,fruit pre,
p-menthadienhydroperoxide,turpentine,
geranyl acetate,rose,
(E.Z)-3.6-nonadien-1-ol,fish,
hexyl hexanoate,fruit peel peach,
skatole,mothball fecal,
butyl octanoate,fruit,
styrene glycol,sweet,
dehydro-ar-ionene,licorice,
β-elemene,herb wax herb,
isobornyl propionate,fruit turpentine,
ethylfuranone,spice,
eugenol,clove honey,
methylene bis(methyl sulfide),garlic sulfur,
ethyl decanoate,grape,
cis-linalool pyran oxide,citrus herb,
methyl eugenol,clove spice,
lauric aldehyde,lily solvent citrus,
decyl alcohol,fruit solvent,
carvyl acetate,herb sfruitmint,
α-gurjunene,wood balsamic,
geosmin,beet earth,
(E)-β-damascone,fruit,
tetradecane,alkane,
β-bourbonene,herb,
(-)-γ-elemene,herb wood solvent,
α-ionone,wood violet,
(E)-α-bergamotene,wood warm tea,
β-selinene,herb,
ethyl salicylate,winterherb mint,
linalyl butyrate,fruit sweet,
isocaryophyllene,wood,
coumarin,herb sweet,
γ-decalactone,peach solvent,
erucin,cabbage,
geranyl acetone,magnolia herb,
α-guaiene,wood balsamic,
β-caryophyllene,wood spice,
γ-selinene,wood,
wine lactone,fruit spice,
δ-decalactone,fruit,
isogeraniol,rose,
2-dodecenal,herb solvent sweet,
butyl decanoate,whiskey,
cinnamic acid,honey,
β-farnesene,wood citrus sweet,
ethyl cinnamate,honey cinnamon,
δ-decalactone,peach,
aromadendrene,wood,
R-δ-decenolactone,peach,
linalyl isovalerate,sweet fruit citrus,
asaricin,spice pepper,
ethyl-(E.Z)-2.4-decadienoate,fruit,
elemicin,spice aromatic,
β-guaiene,wood spice,
β-ionone,seaweed violet aromatic fruit,
epoxy-2-undecenal,metal,
citronellyl isobutyrate,fruit rose,
p-coumaric acid,balsamic,
p-menth-1-en-9-yl acetate,fruit herb,
p-menth-1-en-9-ol,fruit herb,
α-humulene,wood,
valencene,herb solvent,
bornyl butyrate,herb wood,
undecylic acid,solvent,
isopiperitone,sweet fruit,
ethyl laurate,herb,
α-zingiberene,spice herb irritating,
alloaromadendrene,wood,
γ-muurolene,herb wood spice,
tridecanal,aromatic sweet must,
methyl laurate,solvent fruit,
bis(2-methyl-3-furyl)disulphide,roasted meat,
raspberry ketone,fruit,
pentadecane,alkane,
germacrene D,wood spice,
bicyclogermacrene,herb wood,
linalyl valerate,citrus lavender,
α-muurolene,wood,
berteroin,cabbage,
3-mercaptohexanol,sulfur,
citronellyl butyrate,fruit sweet rose,
bornyl isovalerate,herb earth herb,
(-)-β-bisabolene,balsamic,
myristicin,spice warm balsamic,
α-farnesene,wood sweet,
cadinadiene,spice fruit,
(Z)-oak-lactone,spice,
γ-cadinene,wood,
elemol,herb wood,
δ-cadinene,thyme medicine wood,
geranyl butyrate,fruit rose fruit,
α-curcumene,herb,
caryophyllene alcohol,moss earth spice,
β-sesquiphellandrene,wood,
germacrene B,wood earth spice,
(Z)-nerolidol,wax,
hexyl octanoate,herb herb solvent,
calamenene,herb spice,
isopropyl benzoate,sweet fruit,
12-methyltridecanal,cooked meat tallow solvent meat broth sweat,
lauryl alcohol,solvent wax,
nerolidol,wood aromatic wax,
guaiol,wood balsamic,
dehydrocarveol,solvent herb,
tridecanol,must,
(E)-isoelemicin,spice aromatic,
dill apiol,wood spice,
cedrenol,fruit,
δ-undecalactone,peach,
geranyl isovalerate,fruit rose fruit,
epoxy-β-ionone,fruit sweet wood,
tetradecyl aldehyde,aromatic wax,
(E)-2-hexenoic acid,must solvent,
hexadecane,alkane,
caryophyllene oxide,herb sweet spice,
spathulenol,herb fruit,
levomenol,herb,
citronellyl valerate,warm honey herb rose,
methyl jasmonate,jasmine,
(E)-Whiskey lactone,aromatic lactone,
(Z)-whiskey lactone,fruit,
β-caryophyllene alcohol,earth moss,
humulene oxide,herb,
(-)-cubenol,spice herb herb tea,
geranyl valerate,rose fruit,
methyl tetradecanoate,orris,
bulnesol,spice,
β-eudesmol,wood herb,
(Z)-6-dodecen-γ-lactone,soap,
methyl epijasmonate,jasmine,
cadina-1.4-dien-3-ol,wood spice,
(Z)-6-dodecene-γ-lactone,peach sweet,
α-bisabolol,spice aromatic,
oxo-β-ionone,wood,
methyl dihydroepijasmonate,jasmine,
β-bisabolol,sweet herb,
butyl laurate,solvent,
δ-cadinol,herb,
T-muurolol,herb  spice,
7-methoxycoumarin,balsamic sweet,
pantolactone,cotton candy,
γ-dodecalactone,sweet fruit aromatic,
zingiberenol,metal,
2.6-dimethylnaphthalene,grass,
α-cadinol,herb wood,
(E)-2-dodecen-1-ol,solvent,
7-heptadecene,alkane,
ethyl tetradecanoate,ether,
β-farnesol,aromatic solvent,
α-caryophyllene alcohol,earth,
methyl cinnamate,fruit,
diethyl malate,brown sweet sweet,
β-sinensal,sweet,
pentadecanal,herb,
heptadecane,alkane,
δ-dodecalactone,fruit sweet,
(E)-farnesol,muguet,
ethyl-(E)-cinnamate,aromatic honey,
viridiflorol,herb sweet,
trimethylphenylbutenone,aromatic herb,
benzyl benzoate,balsamic solvent herb,
methyl furaneol,cotton candy sweet,
bornyl benzoate,pine balsamic,
perhydrofarnesylacetone,solvent,
10-epi-γ-eudesmol,sweet wood aromatic,
(+)-nootkatone,grapefruit,
hexadecanone,fruit,
4-propyl-guaiacol,solvent,
palmitaldehyde,cardboard,
(-)-nootkatone,terpentine,
octadecane,alkane,
Diethyl 2-hydroxyglutarate,cotton candy,
uncineol,wax sweet,
phenylethyl benzoate,aromatic honey,
p-hydroethylbenzene,solvent spice,
α-calacorene,wood,
hexadecanol,aromatic wax,
cetyl alcohol,wax aromatic,
4-Carbethoxybutyrolactone,roast smoke,
eudesmol,sweet wood,
ethyl hexadecanoate,wax,
isoeugenol,aromatic,
nonadecane,alkane,
γ-undecalactone,apricot,
(E.E)-farnesyl acetate,solvent wax,
trimethylphenylbutenone,aromatic herb,
syringol,medicine solvent smoke,
isopropyl palmitate,solvent,
diethyl tartrate,earth must,
(E.E)-farnesylacetone,aromatic ether,
eicosane,alkane,
(E)-isoeugenol,aromatic,
octadecanaldehyde,solvent,
4-vinylphenol,almond shell,
oleic acid,solvent,
methyl octadecenoate,solvent,
hydroxycalamenene,herb,
tetradecanol,fruit,
heneicosane,alkane,
phytol,aromatic,
5-oxymethylfurfurole,cardboard,
lauric acid,metal,
docosane,alkane,
6-Methoxyeugenol,sweet aromatic,
stearyl alcohol,solvent,
methyl vanillate,caramel butterscotch vanilla,
ethyl vanillate,aromatic fruit sweet vanilla,
acetovanillone,vanilla,
3-oxo-α-ionol,spice,
tricosane,alkane,
